Galaxy Name,Type (RC3),err,D,GLON,GLAT,Vgsr (RC3),wts
"And VI, Peg dw Sph",Sph?,0.2,0.81,106,-36.3,-180,5
LGS 3,I?,0.21,0.81,126.8,-40.9,-149,4.761904762
And I,E.3.P$,0.08,0.81,121.7,-24.8,-197,12.5
"M110, NGC 0205",E.5.P,0.2,0.813,120.7,-21.1,-60,5
And V,dSph,0.12,0.813,126.2,-15.1,-227,8.333333333
And I,E.3.P$,0.08,0.813,121.7,-24.8,-197,12.5
"M32, NGC 0221",CE.2,0.08,0.813,121.1,-22,-28,12.5
"And VI, Peg dw Sph",Sph?,0.2,0.815,106,-36.3,-180,5
"M31, NGC 0224",SAS3,0.2,0.817,121.2,-21.6,-121,5
"M31, NGC 0224",SAS3,0.12,0.817,121.2,-21.6,-121,8.333333333
"And VI, Peg dw Sph",Sph?,0.25,0.82,106,-36.3,-180,4
IC 0010,IB.9,0.21,0.82,119,-3.3,-146,4.761904762
"M33, NGC 0598",SAS6,0.08,0.82,133.6,-31.3,-46,12.5
"M32, NGC 0221",CE.2,0.6,0.824,121.1,-22,-28,1.666666667
"M110, NGC 0205",E.5.P,0.07,0.824,120.7,-21.1,-60,14.28571429
"M33, NGC 0598",SAS6,0.2,0.828,133.6,-31.3,-46,5
"M31, NGC 0224",SAS3,0.02,0.828,121.2,-21.6,-121,50
IC 0010,IB.9,0.3,0.83,119,-3.3,-146,3.333333333
"M110, NGC 0205",E.5.P,0.3,0.83,120.7,-21.1,-60,3.333333333
"And VI, Peg dw Sph",Sph?,0.2,0.83,106,-36.3,-180,5
"DDO 069, Leo A",IB.9,0.2,0.832,196.9,52.4,-19,5
"M31, NGC 0224",SAS3,0.2,0.832,121.2,-21.6,-121,5
"M31, NGC 0224",SAS3,0.15,0.832,121.2,-21.6,-121,6.666666667
"IC 1613, DDO 008",IBS9,0.05,0.832,129.7,-60.6,-152,20
"DDO 069, Leo A",IB.9,0.04,0.836,196.9,52.4,-19,25
"M33, NGC 0598",SAS6,0.09,0.84,133.6,-31.3,-46,11.11111111
"M33, NGC 0598",SAS6,0.08,0.84,133.6,-31.3,-46,12.5
"M31, NGC 0224",SAS3,0.03,0.843,121.2,-21.6,-121,33.33333333
"M33, NGC 0598",SAS6,0.15,0.847,133.6,-31.3,-46,6.666666667
"M33, NGC 0598",SAS6,0.09,0.847,133.6,-31.3,-46,11.11111111
"M33, NGC 0598",SAS6,0.06,0.847,133.6,-31.3,-46,16.66666667
"M110, NGC 0205",E.5.P,0.25,0.851,120.7,-21.1,-60,4
"M33, NGC 0598",SAS6,0.08,0.859,133.6,-31.3,-46,12.5
"M110, NGC 0205",E.5.P,0.35,0.863,120.7,-21.1,-60,2.857142857
"M33, NGC 0598",SAS6,0.07,0.867,133.6,-31.3,-46,14.28571429
IC 0010,IB.9,0.2,0.87,119,-3.3,-146,5
Tucana Dwarf,DE.4,0.16,0.87,322.9,-47.4,34,6.25
"M33, NGC 0598",SAS6,0.2,0.871,133.6,-31.3,-46,5
"M33, NGC 0598",SAS6,0.13,0.871,133.6,-31.3,-46,7.692307692
"M33, NGC 0598",SAS6,0.2,0.875,133.6,-31.3,-46,5
"M32, NGC 0221",CE.2,0.05,0.875,121.1,-22,-28,20
Tucana Dwarf,DE.4,0.2,0.879,322.9,-47.4,34,5
Tucana Dwarf,DE.4,0.2,0.88,322.9,-47.4,34,5
WLM,IBS9,0.1,0.891,75.9,-73.6,-61,10
"M33, NGC 0598",SAS6,0.04,0.895,133.6,-31.3,-46,25
"M33, NGC 0598",SAS6,0.39,0.899,133.6,-31.3,-46,2.564102564
WLM,IBS9,0.09,0.899,75.9,-73.6,-61,11.11111111
"M33, NGC 0598",SAS6,0.14,0.912,133.6,-31.3,-46,7.142857143
"M33, NGC 0598",SAS6,0.04,0.912,133.6,-31.3,-46,25
"M33, NGC 0598",SAS6,0.13,0.916,133.6,-31.3,-46,7.692307692
"M33, NGC 0598",SAS6,0.04,0.916,133.6,-31.3,-46,25
"M33, NGC 0598",SAS6,0.04,0.916,133.6,-31.3,-46,25
"DDO 216, Peg DIG",I..9,0.07,0.919,94.8,-43.6,-20,14.28571429
"M33, NGC 0598",SAS6,0.12,0.925,133.6,-31.3,-46,8.333333333
"M31, NGC 0224",SAS3,0.03,0.929,121.2,-21.6,-121,33.33333333
"M33, NGC 0598",SAS6,0.13,0.93,133.6,-31.3,-46,7.692307692
WLM,IBS9,0.08,0.932,75.9,-73.6,-61,12.5
"M33, NGC 0598",SAS6,0.09,0.933,133.6,-31.3,-46,11.11111111
"M33, NGC 0598",SAS6,0.11,0.938,133.6,-31.3,-46,9.090909091
"DDO 210, Aquarius Dwarf",IBS9,0.1,0.94,34,-31.3,-23,10
WLM,IBS9,0.09,0.946,75.9,-73.6,-61,11.11111111
"DDO 210, Aquarius Dwarf",IBS9,0.11,0.95,34,-31.3,-23,9.090909091
"DDO 216, Peg DIG",I..9,0.1,0.955,94.8,-43.6,-20,10
"M31, NGC 0224",SAS3,0.03,0.955,121.2,-21.6,-121,33.33333333
NGC 0055,SBS9*/,0.2,0.96,332.9,-75.7,94,5
"M31, NGC 0224",SAS3,0.2,0.964,121.2,-21.6,-121,5
WLM,IBS9,0.21,0.964,75.9,-73.6,-61,4.761904762
"DDO 216, Peg DIG",I..9,0.2,0.964,94.8,-43.6,-20,5
WLM,IBS9,0.13,0.977,75.9,-73.6,-61,7.692307692
"M33, NGC 0598",SAS6,0.04,0.995,133.6,-31.3,-46,25
"M33, NGC 0598",SAS6,0.03,1,133.6,-31.3,-46,33.33333333
"M33, NGC 0598",SAS6,0.2,1.02,133.6,-31.3,-46,5
NGC 3109,SBS9./,0.2,1.02,262.1,23.1,194,5
Sag DIG,IBS9*,0.1,1.04,21.1,-16.3,8,10
NGC 3109,SBS9./,0.16,1.05,262.1,23.1,194,6.25
WLM,IBS9,0.15,1.05,75.9,-73.6,-61,6.666666667
"M33, NGC 0598",SAS6,0.03,1.05,133.6,-31.3,-46,33.33333333
Sag DIG,IBS9*,0.2,1.06,21.1,-16.3,8,5
"DDO 216, Peg DIG",I..9,0.11,1.06,94.8,-43.6,-20,9.090909091
"DDO 210, Aquarius Dwarf",IBS9,0.08,1.071,34,-31.3,-23,12.5
"M31, NGC 0224",SAS3,0.6,1.1,121.2,-21.6,-121,1.666666667
NGC 3109,SBS9./,0.31,1.1,262.1,23.1,194,3.225806452
NGC 3109,SBS9./,0.04,1.1,262.1,23.1,194,25
NGC 3109,SBS9./,0.22,1.13,262.1,23.1,194,4.545454545
NGC 3109,SBS9./,0.12,1.13,262.1,23.1,194,8.333333333
NGC 3109,SBS9./,0.04,1.15,262.1,23.1,194,25
NGC 3109,SBS9./,0.22,1.19,262.1,23.1,194,4.545454545
NGC 3109,SBS9./,0.15,1.23,262.1,23.1,194,6.666666667
NGC 6822,IBS9,0.2,1.25,25.4,-18.4,44,5
NGC 3109,SBS9./,0.2,1.26,262.1,23.1,194,5
Sextans A,IB.9,0.15,1.26,246.1,39.9,164,6.666666667
IC 0010,IB.9,0.2,1.27,119,-3.3,-146,5
NGC 3109,SBS9./,0.06,1.27,262.1,23.1,194,16.66666667
NGC 3109,SBS9./,0.05,1.27,262.1,23.1,194,20
NGC 3109,SBS9./,0.28,1.28,262.1,23.1,194,3.571428571
NGC 3109,SBS9./,0.05,1.28,262.1,23.1,194,20
NGC 3109,SBS9./,0.02,1.3,262.1,23.1,194,50
Sextans A,IB.9,0.2,1.31,246.1,39.9,164,5
Sextans A,IB.9,0.03,1.31,246.1,39.9,164,33.33333333
"M32, NGC 0221",CE.2,0.2,1.32,121.1,-22,-28,5
Antlia Dwarf,IX.9,0.2,1.32,263.1,22.3,150,5
NGC 3109,SBS9./,0.13,1.33,262.1,23.1,194,7.692307692
Sextans B,IBS9,0.2,1.34,233.2,43.8,168,5
